starttime	endtime	transcriptionid	videoid	Domain	termname	videoname	deptname	deptacronym	CourseNumber	CourseName	SectionName
59:06.0	51:49.5	aca8d826-412b-4134-8d2c-87537fdc4a76	48c298af-6f56-4518-ba92-4af1d2da799b	illinois.edu	Fall 2020	Lecture 2 — Overview Text Mining and Analytics - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
12:07.4	04:39.8	db1d54dd-bb05-46c0-995b-5f7d5243e3c4	608d3900-6494-4bf0-97d9-0a0853f4ffb5	illinois.edu	Fall 2020	Lecture 5 — Text Representation - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
55:43.0	15:49.0	2997c717-2552-411d-9dc4-7e648e16bbf0	a38f9e2a-e3db-4b29-9070-56d88bd45465	illinois.edu	Fall 2020	Lecture 6 — Text Representation - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
02:18.3	26:26.5	0d005f7e-0c3f-465b-b7fe-08f45355e3de	df7b3e94-20b5-4d62-890f-44b5464af1be	illinois.edu	Fall 2020	Lecture 7 — Word Association Mining and Analysis | UIUC	Computer Science	CS	410	Text Information Systems	ALL
03:08.6	53:10.9	b9eb5a35-5bad-4cf5-9d94-b0b0c816c8cf	68fe64aa-5af3-46ef-be84-21ca402e4430	illinois.edu	Fall 2020	Lecture 8 — Paradigmatic Relation Discovery - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
06:23.1	44:53.6	9a443634-7f2e-4d3a-9ccd-0f1b6604c939	5d5ac9e4-567b-4ce1-a1b2-b4dd5197013c	illinois.edu	Fall 2020	Lecture 9 — Paradigmatic Relation Discovery - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
15:52.2	50:23.1	2736e0b3-cd3e-4760-b07e-e9aadcc588e2	f991c0fe-81c5-4bcd-a4d5-ac0359b2683f	illinois.edu	Fall 2020	Lecture 10 — Syntagmatic Relation Discovery  Entropy | UIUC	Computer Science	CS	410	Text Information Systems	ALL
57:07.5	12:58.1	51be74e8-eb10-47c2-a768-b688605de1e0	41473d0d-91ad-4e24-b129-9cf24ef12436	illinois.edu	Fall 2020	Lecture 11 — Syntagmatic Relation Discovery  Conditional Entropy | UIUC	Computer Science	CS	410	Text Information Systems	ALL
05:13.8	38:31.6	9e5a0c5f-ff4a-42a6-b37b-f43628632860	ffbde7b0-d07a-4a67-a647-2f77a7c9e6d1	illinois.edu	Fall 2020	Lecture 12 — Syntagmatic Relation Discovery  Mutual Information - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
11:30.2	25:40.1	44df41bc-04d3-41ca-ac51-dbd22dc98305	aef9082d-d8de-4f6e-a350-17e56a42ceba	illinois.edu	Fall 2020	Lecture 13 — Syntagmatic Relation Discovery  Mutual Information - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
01:30.9	45:20.5	380a7417-6702-4df8-9818-5aceba7cde2b	860ecb4f-cfee-4d78-b363-116f3ef682a4	illinois.edu	Fall 2020	Lecture 14 — Topic Mining and Analysis  Motivation and Task Definition | UIUC	Computer Science	CS	410	Text Information Systems	ALL
11:16.8	59:19.2	b75d0d2e-a1b7-4f6a-b699-f81ec4b720c7	fde6d4fd-d6e4-4b10-9bbf-8c88af3d81e7	illinois.edu	Fall 2020	Lecture 15 — Topic Mining and Analysis  Term as Topic | UIUC	Computer Science	CS	410	Text Information Systems	ALL
15:15.8	44:49.0	6a9537c1-62fc-4f31-a8a7-bdfcad2f50eb	e212734f-6e3e-4124-ac91-f21ab1e126a1	illinois.edu	Fall 2020	Lecture 16 — Topic Mining and Analysis  Probabilistic Topic Models | UIUC	Computer Science	CS	410	Text Information Systems	ALL
04:24.7	46:16.6	54ab232c-85cb-4829-abd0-6cbaed5f3fc8	ce34689a-3b10-4b2d-83e1-e79b589b9582	illinois.edu	Fall 2020	Lecture 17 — Probabilistic Topic Models  Overview of Statistical Language Models - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
06:46.9	36:01.2	48b37a2f-5ca3-4b7b-9bfc-d841da37c566	9b1fc643-c08f-43ea-a801-ed76727f4c45	illinois.edu	Fall 2020	Lecture 18 — Probabilistic Topic Models  Overview of Statistical Language Models - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
10:55.7	00:02.0	e6c92e3a-0169-4af1-96d7-3fe4a5303e3a	c1d82277-97a2-4db4-bb6a-a33df2745bd5	illinois.edu	Fall 2020	Lecture 19 — Probabilistic Topic Models  Mining One Topic | UIUC	Computer Science	CS	410	Text Information Systems	ALL
14:02.0	53:23.0	8eaf2971-31ff-40b7-9fc6-b91c7637f916	9e7e8290-40d0-41a5-a3a5-09c69371fbf4	illinois.edu	Fall 2020	Lecture 20 — Probabilistic Topic Models  Mixture of Unigram Language Models | UIUC	Computer Science	CS	410	Text Information Systems	ALL
15:05.0	17:55.1	27d06808-2624-4922-a079-04dccb301dde	78873d30-24f0-456d-af04-2935c3ecf451	illinois.edu	Fall 2020	Lecture 21 — Probabilistic Topic Models  Mixture Model Estimation - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
00:33.2	21:21.6	5350ccd0-beab-48fc-8484-d8e6a38c4cbf	bd76c12f-bd57-4677-8aa1-50b46227d456	illinois.edu	Fall 2020	Lecture 22 — Probabilistic Topic Models  Mixture Model Estimation - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
15:08.6	29:29.8	93efd70b-16b1-45f1-9c81-c0f2aeb7c9ee	4b1fb2d3-4f9b-4850-a355-c2ea0ef0344a	illinois.edu	Fall 2020	Lecture 23 — Probabilistic Topic Models  Expectation Maximization Algorithm - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
01:52.8	42:20.6	4c3d9363-8e43-44fe-ab21-8740cfd1a8c5	cbf1da89-1466-4d25-b81c-6d345e9b88c7	illinois.edu	Fall 2020	Lecture 24 — Probabilistic Topic Models  Expectation Maximization Algorithm - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
10:04.6	10:04.6	20703c3c-ced6-4410-ace1-139baa46505c	8cf648e7-0a90-4fb3-9577-13f18709c2dd	illinois.edu	Fall 2020	Lecture 25 — Probabilistic Topic Models  Expectation Maximization Algorithm - Part 3 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
56:18.8	44:21.5	1cc2d7fa-3d11-49fa-b979-ef5e9442466f	882df9df-e834-4d22-811e-9eb9fdcd33f0	illinois.edu	Fall 2020	Lecture 26 — Probabilistic Latent Semantic Analysis PLSA - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
07:32.4	17:33.2	4453a049-7597-4df4-9b9b-67c2d124a116	a02d0ea0-2235-47f9-8562-974151c70692	illinois.edu	Fall 2020	Lecture 27 — Probabilistic Latent Semantic Analysis PLSA - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
02:33.7	30:00.6	5190e288-54f7-4021-9083-8e8ceac11345	2663cf62-2f01-429f-8c0c-ea777cb56d9f	illinois.edu	Fall 2020	Lecture 28 — Latent Dirichlet Allocation LDA - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
15:08.9	34:09.7	d857a66b-1018-4ffb-821a-9d8acc6f5012	5c0df7ef-8040-4233-8b18-0c91ca645094	illinois.edu	Fall 2020	Lecture 29 — Latent Dirichlet Allocation LDA - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
18:04.5	44:00.0	6a9b1334-5f53-407b-8864-2cff7edbc603	7cd21dbc-b96a-4110-babd-a1fc6160a377	illinois.edu	Fall 2020	Lecture 30 — Text Clustering  Motivation | UIUC	Computer Science	CS	410	Text Information Systems	ALL
09:48.1	13:12.3	8717e27a-33fb-4d06-ae68-2e0d915b1568	1ad61df9-ce18-467d-927b-a0da2cff7ca7	illinois.edu	Fall 2020	Lecture 31 — Text Clustering Generative Probabilistic Models - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
11:34.3	19:50.3	f64adab4-578a-4868-8b2c-03fdd4ddf55d	923f6adf-9d96-439e-b5ca-ee43cb81f4a9	illinois.edu	Fall 2020	Lecture 32 — Text Clustering Generative Probabilistic Models - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
09:28.6	32:41.1	dccc8a84-66da-47ce-ab88-28e8acf192b9	7e7ea099-d2b7-44fb-8d38-2a05ce7657c6	illinois.edu	Fall 2020	Lecture 33 — Text Clustering Generative Probabilistic Models - Part 3 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
59:54.8	13:33.3	5bb813bd-6b7d-4f77-8156-21995f5944ad	1cfa3f93-17aa-4b8e-83ef-7fe026cf8c39	illinois.edu	Fall 2020	Lecture 34 — Text Clustering Similarity based Approaches | UIUC	Computer Science	CS	410	Text Information Systems	ALL
56:08.3	30:32.9	da74c929-efc1-4b65-9635-684c7ebcab3f	b1fe1481-2d71-4520-af9f-f77f61cee3c5	illinois.edu	Fall 2020	Lecture 35 — Text Clustering  Evaluation | UIUC	Computer Science	CS	410	Text Information Systems	ALL
19:19.2	56:42.5	39d13817-de51-4195-a33a-985b0b54e64d	96bed99b-34ab-44d8-a237-b370e2fff115	illinois.edu	Fall 2020	Lecture 36 — Text Categorization Motivation | UIUC	Computer Science	CS	410	Text Information Systems	ALL
16:02.7	27:00.1	aac4e33c-97bb-46c8-a108-3e3e3322a85c	4db83e26-77a9-402f-882f-a5b4b8bd937a	illinois.edu	Fall 2020	Lecture 37 — Text Categorization  Methods | UIUC	Computer Science	CS	410	Text Information Systems	ALL
17:20.3	04:44.3	6962b043-7dd8-4050-bad0-bbdb13e2c302	c00450ef-9290-41db-a40d-b648226369b4	illinois.edu	Fall 2020	Lecture 38 — Text Categorization Generative Probabilistic Models | UIUC	Computer Science	CS	410	Text Information Systems	ALL
08:52.4	42:02.7	4da6283d-6903-4be9-8bfc-ad5d330343c6	e4f3539b-4794-4f15-aa42-628b6261e69a	illinois.edu	Fall 2020	Lecture 39 — Text Categorization  Discriminative Classifier - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
07:01.2	21:10.6	7f9f9b1e-4527-4875-b6f7-4dc0d57ab719	867346b9-c5f7-40ba-a928-44b312972ca2	illinois.edu	Fall 2020	Lecture 40 — Text Categorization  Discriminative Classifier - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
58:06.7	58:06.7	3956403f-f159-448a-9514-5dc69f314c5a	b2c565f1-bc24-4299-82ff-3d83cd9ffac6	illinois.edu	Fall 2020	Lecture 41 — Text Categorization  Evaluation - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
56:24.4	31:41.8	6382e23f-d54e-4ece-a231-8df819983fb5	2b617d75-996c-4cd0-8dae-c3d419889850	illinois.edu	Fall 2020	Lecture 42 — Text Categorization  Evaluation - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
09:49.5	46:50.2	f1951cf2-4293-450b-8578-4d74c72f9862	bbbad2c5-a171-4077-aa16-5e84937e1a04	illinois.edu	Fall 2020	Lecture 43 — Opinion Mining and Sentiment Analysis  Motivation | UIUC	Computer Science	CS	410	Text Information Systems	ALL
17:00.5	41:26.5	4a54f790-991c-44bb-ab62-713cbef84ad1	1d056124-cea1-42ec-b1f1-5f82a7828df9	illinois.edu	Fall 2020	Lecture 44 — Opinion Mining, Sentiment Analysis  and  Sentiment Classification | UIUC	Computer Science	CS	410	Text Information Systems	ALL
10:08.0	38:41.0	2d0e46c7-df4e-48b3-9550-dac3fec3062d	d08f57f6-d841-4f60-8e19-2fb519f981a1	illinois.edu	Fall 2020	Lecture 45 — Opinion Mining and Sentiment Analysis  Ordinal Logistic Regression | UIUC	Computer Science	CS	410	Text Information Systems	ALL
19:12.3	49:22.0	b1854d1c-3199-4c42-ab7d-f219f70259a3	9dae6cd8-148a-4645-8467-60be00f5eb00	illinois.edu	Fall 2020	Lecture 46 — Opinion Mining and Sentiment Analysis  Latent Aspect Rating Analysis - Part 1 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
58:22.6	10:36.5	ee41ce3a-6c8d-4c3b-90fd-79f3e9190402	e2bd5a88-004f-42e6-adef-41306c6b549e	illinois.edu	Fall 2020	Lecture 47 — Opinion Mining and Sentiment Analysis  Latent Aspect Rating Analysis - Part 2 | UIUC	Computer Science	CS	410	Text Information Systems	ALL
57:04.0	14:46.1	a97a9d5e-48b7-4f4e-9754-4c5b30a31424	a0b51765-30e2-4c12-aa64-02d4206458ca	illinois.edu	Fall 2020	Lecture 48 — Text Based Prediction | UIUC	Computer Science	CS	410	Text Information Systems	ALL
54:19.7	26:47.2	95f92696-1963-4307-83c6-a8370ff03b30	67fd1c6f-384d-40a3-a190-0487f08c5ed8	illinois.edu	Fall 2020	Lecture 49 — Contextual Text Mining  Motivation | UIUC	Computer Science	CS	410	Text Information Systems	ALL
06:11.1	55:13.3	3103be2f-681e-41cf-b0f7-21cf6ba56616	eae40e76-7192-4e5d-ae70-e2e83a1f3f6c	illinois.edu	Fall 2020	Lecture 50 — Contextual Text Mining  Contextual Probabilistic Latent Semantic Analysis | UIUC	Computer Science	CS	410	Text Information Systems	ALL
