transcriptionid	videoid	Domain	termname	videoname	deptname	deptacronym	CourseNumber	CourseName	SectionName
527934a0-530d-4125-a5a8-2a5cf05dcd5d	d1fcc83b-1703-4b2a-8f9e-34784814fb33	illinois.edu	Fall 2021	CS241-Lec02-Q01	Computer Science	CS	241	System Programming	AL1
491a80ef-eda8-4e66-a332-f2dd12cb7ebe	3725746a-27dd-438a-a95a-ef491ccdf65a	illinois.edu	Fall 2021	CS241-Lec02-Q02	Computer Science	CS	241	System Programming	AL1
51d90699-38b0-4f5e-8fa7-adc726deb48b	a24063ad-c86c-44db-9300-c6f3bc1a0011	illinois.edu	Fall 2021	CS241-Lec02-Q03	Computer Science	CS	241	System Programming	AL1
73c03049-aa68-4e80-86c4-2fe840200860	a24063ad-c86c-44db-9300-c6f3bc1a0011	illinois.edu	Fall 2021	CS241-Lec02-Q03	Computer Science	CS	241	System Programming	AL1
fc0386f0-e3f8-43ca-97ae-dd0bead788b2	f86d38f4-9361-4ca9-a080-7c08a7646721	illinois.edu	Fall 2021	CS241-Lec02-Q04	Computer Science	CS	241	System Programming	AL1
46d738b3-f1ab-4400-a64d-55474f51875f	0c10662e-ca5f-40f8-99b0-827839695cb1	illinois.edu	Fall 2021	CS241-Lec02-Q05	Computer Science	CS	241	System Programming	AL1
1df54d06-6533-47ef-9136-ed124c6ff6d3	e1823866-932b-4a11-b969-358527c9d219	illinois.edu	Fall 2021	CS241-Lec02-Q06	Computer Science	CS	241	System Programming	AL1
83c8c367-376a-4574-bc73-6b7b742d1b47	5b14ee59-1f8a-4391-a9a8-b92f70cdc73a	illinois.edu	Fall 2021	CS241-Lec02-Q07	Computer Science	CS	241	System Programming	AL1
3b9f5713-ca11-400c-bd6f-428347679520	ecd57995-053a-4096-8fb4-22cca3173286	illinois.edu	Fall 2021	CS241-Lec02-Q08	Computer Science	CS	241	System Programming	AL1
d3378aac-9686-4a0a-874e-b599c3686e2d	ab27414c-7293-4f88-8503-6da07e4cf591	illinois.edu	Fall 2021	CS241-Lec02-Q09	Computer Science	CS	241	System Programming	AL1
6500319c-14b4-4a6e-a714-3cf7e49e96a9	4be9a555-5ad0-43e4-9083-639d50451759	illinois.edu	Fall 2021	CS241-Lec02-Q10	Computer Science	CS	241	System Programming	AL1
203bde9a-6185-4ffa-94f2-2c4b061612e8	d673e26e-4e84-4449-ad87-8159583f2cf9	illinois.edu	Fall 2021	CS241-Lec02-Q11	Computer Science	CS	241	System Programming	AL1
