starttime	endtime	transcriptionid	videoid	Domain	termname	videoname	deptname	deptacronym	CourseNumber	CourseName	SectionName
0001-01-01 00:00:00	2020-03-02 23:11:47.513359	6691b6ff-51d5-4d89-8bc8-bd882398be6a	81165f29-330d-479b-b634-c51eb394d073	illinois.edu	Fall 2020	Lecture 1 — Natural Language Content Analysis | UIUC	Computer Science	CS	410	Text Information Systems	ALL
2019-08-22 08:00:29.212899	2020-04-17 00:22:25.944772	11ef1861-7f1b-410f-81ba-f8ea7ccbb172	01dcb3fb-83a2-4afd-a08c-4478dcc64948	illinois.edu	Fall 2020	Lecture 2 —Text Access | UIUC	Computer Science	CS	410	Text Information Systems	ALL
2019-08-22 08:14:38.535995	2020-03-29 00:26:20.850317	90bca100-98a3-41f9-b699-80587ff61294	4df5d120-d6dd-4262-a12e-86e06b9b2569	illinois.edu	Fall 2020	Lecture 3 — Text Retrieval Problem | UIUC	Computer Science	CS	410	Text Information Systems	ALL
2019-08-22 08:01:12.087883	2019-08-22 08:01:12.087909	1579f35e-a2d3-4e13-9795-f203c6d41157	56a65c48-27a2-435e-ab5a-9b59ce761eca	illinois.edu	Fall 2020	Lecture 4 — Overview of Text Retrieval Methods | UIUC	Computer Science	CS	410	Text Information Systems	ALL
2019-08-22 08:00:32.872931	2019-08-22 08:00:32.872984	402b4679-f01e-4d07-89a3-6c9817710ada	d8036d19-401e-45e2-b357-b53cbec0ee56	illinois.edu	Fall 2020	Lecture 5 —  Vector Space Model  Basic Idea | UIUC	Computer Science	CS	410	Text Information Systems	ALL
2019-08-22 08:04:36.149347	2019-11-21 08:02:48.940668	9faafef6-a1cb-4e0d-a06d-e134eaec84d9	70334a25-c2b8-496e-962e-83c8334df361	illinois.edu	Fall 2020	Lecture 6 —  Vector Space Model  Simplest Instantiation | UIUC	Computer Science	CS	410	Text Information Systems	ALL
2019-08-22 08:04:15.020841	2019-08-22 08:04:15.020906	c78efb34-5da4-4f3b-aefa-9fa2f2f5337d	90d9e188-08be-472f-9b2e-428a47104de2	illinois.edu	Fall 2020	Lecture 7  — Vector Space Model  Improved Instantiation | UIUC	Computer Science	CS	410	Text Information Systems	ALL
2019-08-22 08:00:32.585415	2019-08-22 08:00:32.585456	60d307bb-e329-4e74-9d8a-5ffd6ceed306	2d9d1e6d-8a03-44aa-9f34-11409f23f13a	illinois.edu	Fall 2020	Lecture 8 —  TF Transformation | UIUC	Computer Science	CS	410	Text Information Systems	ALL
2019-08-22 08:05:19.798854	2019-08-22 08:05:19.798933	0c5d9020-626f-4f0e-87c7-04e310bf2c48	c4b1185b-dcbc-4e4c-b1a9-783249184cf1	illinois.edu	Fall 2020	Lecture  9 — Doc Length Normalization | UIUC	Computer Science	CS	410	Text Information Systems	ALL
2019-08-22 08:06:35.998869	2019-08-22 08:06:35.998908	68b9ad8e-db63-49c2-b060-46046c7dfac0	615b03ac-a761-4f08-8168-5de3bac8a1ec	illinois.edu	Fall 2020	Lecture 10 —  Implementation of TR Systems | UIUC	Computer Science	CS	410	Text Information Systems	ALL
